from_id,relationship_type,to_id,established_by,rating_required
SUP.8,HAS_BASE_PRACTICE,SUP.8.BP7,null,null
SUP.8,HAS_BASE_PRACTICE,SUP.8.BP8,null,null
SUP.8,BELONGS_TO,SUP,null,null
SUP.8,HAS_OUTCOME,SUP.8.OUT.1,null,null
SUP.8,HAS_OUTCOME,SUP.8.OUT.2,null,null
SUP.8,HAS_OUTCOME,SUP.8.OUT.3,null,null
SUP.8,HAS_OUTCOME,SUP.8.OUT.4,null,null
SUP.8,HAS_OUTCOME,SUP.8.OUT.5,null,null
SUP.8,HAS_OUTCOME,SUP.8.OUT.6,null,null
SUP.8,HAS_OUTCOME,SUP.8.OUT.7,null,null
SUP.8,HAS_OUTCOME,SUP.8.OUT.8,null,null
SUP.9,HAS_BASE_PRACTICE,SUP.9.BP1,null,null
SUP.9,HAS_BASE_PRACTICE,SUP.9.BP2,null,null
SUP.9,HAS_BASE_PRACTICE,SUP.9.BP3,null,null
SUP.9,HAS_BASE_PRACTICE,SUP.9.BP4,null,null
SUP.9,HAS_BASE_PRACTICE,SUP.9.BP5,null,null
SUP.9,HAS_BASE_PRACTICE,SUP.9.BP6,null,null
SUP.9,HAS_BASE_PRACTICE,SUP.9.BP7,null,null
SUP.9,BELONGS_TO,SUP,null,null
SUP.9,HAS_OUTCOME,SUP.9.OUT.1,null,null
SUP.9,HAS_OUTCOME,SUP.9.OUT.2,null,null
SUP.9,HAS_OUTCOME,SUP.9.OUT.3,null,null
SUP.9,HAS_OUTCOME,SUP.9.OUT.4,null,null
SUP.9,HAS_OUTCOME,SUP.9.OUT.5,null,null
SUP.10,HAS_BASE_PRACTICE,SUP.10.BP1,null,null
SUP.10,HAS_BASE_PRACTICE,SUP.10.BP2,null,null
SUP.10,HAS_BASE_PRACTICE,SUP.10.BP3,null,null
SUP.10,HAS_BASE_PRACTICE,SUP.10.BP4,null,null
SUP.10,HAS_BASE_PRACTICE,SUP.10.BP5,null,null
SUP.10,HAS_BASE_PRACTICE,SUP.10.BP6,null,null
SUP.10,BELONGS_TO,SUP,null,null
SUP.10,HAS_OUTCOME,SUP.10.OUT.1,null,null
SUP.10,HAS_OUTCOME,SUP.10.OUT.2,null,null
SUP.10,HAS_OUTCOME,SUP.10.OUT.3,null,null
SUP.10,HAS_OUTCOME,SUP.10.OUT.4,null,null
SUP.10,HAS_OUTCOME,SUP.10.OUT.5,null,null
SUP.10,HAS_OUTCOME,SUP.10.OUT.6,null,null
SUP.11,HAS_BASE_PRACTICE,SUP.11.BP1,null,null
SUP.11,HAS_BASE_PRACTICE,SUP.11.BP2,null,null
SUP.11,HAS_BASE_PRACTICE,SUP.11.BP3,null,null
SUP.11,HAS_BASE_PRACTICE,SUP.11.BP4,null,null
SUP.11,HAS_BASE_PRACTICE,SUP.11.BP5,null,null
SUP.11,HAS_BASE_PRACTICE,SUP.11.BP6,null,null
SUP.11,BELONGS_TO,SUP,null,null
SUP.11,HAS_OUTCOME,SUP.11.OUT.1,null,null
SUP.11,HAS_OUTCOME,SUP.11.OUT.2,null,null
SUP.11,HAS_OUTCOME,SUP.11.OUT.3,null,null
SUP.11,HAS_OUTCOME,SUP.11.OUT.4,null,null
SUP.11,HAS_OUTCOME,SUP.11.OUT.5,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP1,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP2,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP3,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP4,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP5,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP6,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP7,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP8,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP9,null,null
MAN.3,HAS_BASE_PRACTICE,MAN.3.BP10,null,null
MAN.3,BELONGS_TO,MAN,null,null
MAN.3,HAS_OUTCOME,MAN.3.OUT.1,null,null
MAN.3,HAS_OUTCOME,MAN.3.OUT.2,null,null
MAN.3,HAS_OUTCOME,MAN.3.OUT.3,null,null
MAN.3,HAS_OUTCOME,MAN.3.OUT.4,null,null
MAN.3,HAS_OUTCOME,MAN.3.OUT.5,null,null
MAN.3,HAS_OUTCOME,MAN.3.OUT.6,null,null
MAN.3,HAS_OUTCOME,MAN.3.OUT.7,null,null
MAN.5,HAS_BASE_PRACTICE,MAN.5.BP1,null,null
MAN.5,HAS_BASE_PRACTICE,MAN.5.BP2,null,null
MAN.5,HAS_BASE_PRACTICE,MAN.5.BP3,null,null
MAN.5,HAS_BASE_PRACTICE,MAN.5.BP4,null,null
MAN.5,HAS_BASE_PRACTICE,MAN.5.BP5,null,null
MAN.5,HAS_BASE_PRACTICE,MAN.5.BP6,null,null
MAN.5,HAS_BASE_PRACTICE,MAN.5.BP7,null,null
MAN.5,BELONGS_TO,MAN,null,null
MAN.5,HAS_OUTCOME,MAN.5.OUT.1,null,null
MAN.5,HAS_OUTCOME,MAN.5.OUT.2,null,null
MAN.5,HAS_OUTCOME,MAN.5.OUT.3,null,null
MAN.5,HAS_OUTCOME,MAN.5.OUT.4,null,null
MAN.5,HAS_OUTCOME,MAN.5.OUT.5,null,null
MAN.6,HAS_BASE_PRACTICE,MAN.6.BP1,null,null
MAN.6,HAS_BASE_PRACTICE,MAN.6.BP2,null,null
MAN.6,HAS_BASE_PRACTICE,MAN.6.BP3,null,null
MAN.6,HAS_BASE_PRACTICE,MAN.6.BP4,null,null
MAN.6,HAS_BASE_PRACTICE,MAN.6.BP5,null,null
MAN.6,HAS_BASE_PRACTICE,MAN.6.BP6,null,null
MAN.6,BELONGS_TO,MAN,null,null
MAN.6,HAS_OUTCOME,MAN.6.OUT.1,null,null
MAN.6,HAS_OUTCOME,MAN.6.OUT.2,null,null
MAN.6,HAS_OUTCOME,MAN.6.OUT.3,null,null
MAN.6,HAS_OUTCOME,MAN.6.OUT.4,null,null
MAN.6,HAS_OUTCOME,MAN.6.OUT.5,null,null
